"","Position","Age","League_from","League_to","Season","Market_value","Transfer_fee","Price_diff"
"3912","Right Winger",22,"LaLiga","Premier League","2015",7,7,0
"3913","Goalkeeper",23,"Jupiler Pro League","LaLiga","2015",7,7,0
"3914","Attacking Midfield",20,"Primera División","Eredivisie","2015",7,7,0
"3915","Centre-Back",25,"Premier League","Serie A","2015",6,7,1
"3916","Centre-Forward",24,"Serie B","Serie A","2015",6,7,1
"3917","Centre-Back",28,"Süper Lig","Super League","2015",5,7,2
"3918","Central Midfield",19,"SuperLiga","Premier League","2015",3,7,4
"3919","Defensive Midfield",23,"Premier League","Premier League","2015",2.5,7,4.5
"3920","Centre-Back",28,"Serie A","Premier League","2015",1.3,7,5.7
"3921","Centre-Forward",26,"Professional League","Professional League","2015",1,6.8,5.8
"3922","Right Winger",24,"League One","Super League","2015",0.15,6.75,6.6
"3923","Right Winger",23,"Championship","Championship","2015",6.5,6.7,0.2
"3924","Centre-Forward",27,"Liga NOS","Premier League","2015",6,6.7,0.7
"3925","Goalkeeper",25,"Super League","Super League","2015",0.2,6.7,6.5
"3926","Defensive Midfield",21,"Superligaen","Premier League","2015",3,6.6,3.6
"3927","Centre-Forward",18,"SuperLiga","Ledman Liga Pro","2015",1.75,6.6,4.85
"3928","Second Striker",31,"Serie A","Primera División","2015",23,6.5,-16.5
"3929","Centre-Forward",31,"Premier League","Süper Lig","2015",15,6.5,-8.5
"3930","Centre-Back",23,"Bundesliga","Bundesliga","2015",7.5,6.5,-1
"3931","Attacking Midfield",24,"Premier League","Bundesliga","2015",4,6.5,2.5
"3932","Centre-Forward",24,"Liga NOS","Premier Liga","2015",3.5,6.5,3
"3933","Right Winger",23,"Eredivisie","Premier League","2015",3.5,6.5,3
"3934","Centre-Back",25,"Liga NOS","LaLiga","2015",3,6.5,3.5
"3935","Centre-Back",27,"Ligue 1","Premier League","2015",2.5,6.5,4
"3936","Centre-Forward",26,"Super League","Super League","2015",0.125,6.5,6.375
"3937","Second Striker",26,"LaLiga","MLS","2015",9,6.35,-2.65
"3938","Left Winger",29,"Super League","Super League","2015",0.2,6.25,6.05
"3939","Left Winger",28,"Premier League","Süper Lig","2015",15,6,-9
"3940","Left Winger",30,"Premier Liga","Ligue 1","2015",11.5,6,-5.5
"3941","Attacking Midfield",27,"Premier Liga","Premier Liga","2015",9.5,6,-3.5
"3942","Centre-Forward",26,"Bundesliga","Bundesliga","2015",8.5,6,-2.5
"3943","Right Winger",28,"Premier League","Premier League","2015",8.5,6,-2.5
"3944","Central Midfield",23,"Serie A","Premier League","2015",8,6,-2
"3945","Defensive Midfield",21,"Liga NOS","Ligue 1","2015",8,6,-2
"3946","Goalkeeper",28,"LaLiga","LaLiga","2015",7.5,6,-1.5
"3947","Centre-Back",22,"Bundesliga","Premier League","2015",7.5,6,-1.5
"3948","Defensive Midfield",29,"Süper Lig","Super League","2015",6.25,6,-0.25
"3949","Centre-Forward",25,"Serie A","Bundesliga","2015",6,6,0
"3950","Central Midfield",23,"Eredivisie","Eredivisie","2015",6,6,0
"3951","Right Winger",21,"LaLiga","Premier League","2015",6,6,0
"3952","Centre-Forward",27,"Ligue 1","Ligue 1","2015",5,6,1
"3953","Attacking Midfield",20,"Liga NOS","LaLiga","2015",4,6,2
"3954","Right Winger",27,"Premier League","LaLiga","2015",4,6,2
"3955","Central Midfield",23,"Serie A","Serie A","2015",3.8,6,2.2
"3956","Left Winger",24,"Premier League","LaLiga","2015",3.5,6,2.5
"3957","Defensive Midfield",21,"Primera División","Serie A","2015",3.5,6,2.5
"3958","Centre-Back",21,"Süper Lig","2.Bundesliga","2015",2.5,6,3.5
"3959","Attacking Midfield",25,"Ligue 1","Premier League","2015",2.5,6,3.5
"3960","Centre-Forward",30,"Premier League","Championship","2015",2,5.6,3.6
"3961","Second Striker",30,"Ligue 1","Super League","2015",9,5.5,-3.5
"3962","Central Midfield",23,"Serie A","Premier League","2016",70,105,35
"3963","Centre-Forward",28,"Serie A","Serie A","2016",65,90,25
"3964","Attacking Midfield",25,"Premier League","Super League","2016",35,60,25
"3965","Right Winger",29,"Premier Liga","Super League","2016",32,55.8,23.8
"3966","Centre-Back",22,"Premier League","Premier League","2016",28,55.6,27.6
"3967","Left Winger",20,"Bundesliga","Premier League","2016",30,50.5,20.5
"3968","Defensive Midfield",23,"Bundesliga","Premier League","2016",25,45,20
"3969","Attacking Midfield",27,"Bundesliga","Premier League","2016",30,42,12
"3970","Left Winger",24,"Premier League","Premier League","2016",20,41.2,21.2
"3971","Centre-Back",24,"LaLiga","Premier League","2016",20,41,21
"3972","Attacking Midfield",23,"Liga NOS","Serie A","2016",30,40,10
"3973","Central Midfield",23,"Bundesliga","Ligue 1","2016",28,40,12
"3974","Centre-Forward",22,"Ligue 1","Premier League","2016",15,39,24
"3975","Centre-Back",22,"LaLiga","Premier League","2016",8,38,30
"3976","Central Midfield",22,"LaLiga","LaLiga","2016",30,37,7
"3977","Defensive Midfield",25,"Premier League","Premier League","2016",20,35.8,15.8
"3978","Centre-Back",27,"Bundesliga","Bundesliga","2016",32,35,3
"3979","Centre-Back",29,"Ligue 1","Premier League","2016",28,35,7
"3980","Central Midfield",27,"Championship","Premier League","2016",13,35,22
"3981","Central Midfield",18,"Liga NOS","Bundesliga","2016",10,35,25
"3982","Central Midfield",26,"Serie A","Serie A","2016",35,32,-3
"3983","Centre-Forward",19,"Serie A","Premier League","2016",16,32,16
"3984","Centre-Forward",22,"Eredivisie","Serie A","2016",12,32,20
"3985","Centre-Forward",25,"Premier League","Premier League","2016",27,31.2,4.2
"3986","Centre-Forward",28,"Liga NOS","Premier League","2016",22,30.5,8.5
"3987","Centre-Forward",23,"Serie A","LaLiga","2016",30,30,0
"3988","Centre-Forward",23,"LaLiga","LaLiga","2016",25,30,5
"3989","Centre-Forward",29,"LaLiga","LaLiga","2016",20,30,10
"3990","Left Winger",25,"Bundesliga","Bundesliga","2016",18,30,12
"3991","Left Winger",20,"Liga NOS","Ligue 1","2016",9,30,21
"3992","Second Striker",20,"Serie A","Serie A","2016",20,29.5,9.5
"3993","Attacking Midfield",29,"Premier League","Ligue 1","2016",30,29.3,-0.699999999999999
"3994","Left Winger",27,"Premier League","Premier League","2016",14,28.9,14.9
"3995","Defensive Midfield",26,"LaLiga","Ligue 1","2016",30,27.5,-2.5
"3996","Central Midfield",25,"Championship","Premier League","2016",20,27.5,7.5
"3997","Central Midfield",25,"Bundesliga","Premier League","2016",30,27,-3
"3998","Left Winger",28,"Liga NOS","LaLiga","2016",30,25,-5
"3999","Centre-Back",22,"Ligue 1","LaLiga","2016",15,25,10
"4000","Left Winger",23,"LaLiga","Ligue 1","2016",14,25,11
"4001","Left Winger",26,"Premier League","Premier League","2016",18,24.1,6.1
"4002","Centre-Back",29,"Premier Liga","LaLiga","2016",20,24,4
"4003","Central Midfield",21,"Bundesliga","Bundesliga","2016",11,24,13
"4004","Centre-Forward",27,"Premier League","Super League","2016",12,23.3,11.3
"4005","Left-Back",25,"Serie A","Premier League","2016",9,23,14
"4006","Left Winger",21,"1.HNL","Serie A","2016",8,23,15
"4007","Defensive Midfield",27,"Premier League","Premier League","2016",28,22.9,-5.1
"4008","Centre-Forward",19,"Super League","Bundesliga","2016",20,22.5,2.5
"4009","Centre-Forward",22,"Eredivisie","Premier League","2016",6,22.1,16.1
"4010","Attacking Midfield",24,"Bundesliga","Bundesliga","2016",35,22,-13
"4011","Right Winger",29,"Serie A","Serie A","2016",23,22,-1
"4012","Right Winger",27,"Super League","Super League","2016",0.475,20.44,19.965
"4013","Central Midfield",27,"Premier Liga","Super League","2016",20,20,0
"4014","Centre-Forward",23,"Bundesliga","Bundesliga","2016",17,20,3
"4015","Central Midfield",22,"Ligue 1","Premier League","2016",5,20,15
"4016","Centre-Forward",23,"Premier Liga","Premier League","2016",18,19.5,1.5
"4017","Centre-Back",22,"Serie A","Serie A","2016",8,19,11
"4018","Attacking Midfield",22,"Ligue 1","Premier League","2016",13,18.7,5.7
"4019","Left Winger",21,"Serie A","LaLiga","2016",6.5,18.2,11.7
"4020","Goalkeeper",33,"LaLiga","Premier League","2016",15,18,3
"4021","Left Winger",29,"LaLiga","Premier League","2016",15,18,3
"4022","Centre-Back",25,"Premier Liga","Bundesliga","2016",15,18,3
"4023","Centre-Forward",28,"Serie A","Serie A","2016",13,18,5
"4024","Right Winger",20,"Premier League","Premier League","2016",7,18,11
"4025","Centre-Forward",27,"LaLiga","Super League","2016",6,18,12
"4026","Centre-Forward",23,"LaLiga","Premier League","2016",5,18,13
"4027","Defensive Midfield",23,"League One","Super League","2016",0.1,17.8,17.7
"4028","Defensive Midfield",20,"Jupiler Pro League","Premier League","2016",8,17.6,9.6
"4029","Centre-Forward",25,"Serie A","Premier League","2016",15,17,2
"4030","Attacking Midfield",27,"Serie A","LaLiga","2016",15,16.8,1.8
"4031","Right Winger",19,"Serie A","Serie A","2016",6,16.6,10.6
"4032","Left-Back",22,"Ligue 1","LaLiga","2016",12,16.5,4.5
"4033","Left Winger",22,"Premier League","Ligue 1","2016",25,16,-9
"4034","Right Winger",23,"Liga NOS","Liga NOS","2016",15,16,1
"4035","Right-Back",24,"Serie A","LaLiga","2016",13,16,3
"4036","Right Winger",24,"Championship","Premier League","2016",9,15.6,6.6
"4037","Central Midfield",26,"Premier League","Premier League","2016",8,15.5,7.5
"4038","Defensive Midfield",24,"Ligue 1","Premier League","2016",7.5,15.5,8
"4039","Central Midfield",25,"Premier League","Premier League","2016",7.5,15.4,7.9
"4040","Centre-Forward",31,"Premier League","Super League","2016",11,15.25,4.25
"4041","Left Winger",27,"Premier League","Premier League","2016",13,15.2,2.2
"4042","Right Winger",19,"Championship","Bundesliga","2016",0.25,15.2,14.95
"4043","Left Midfield",25,"Championship","Premier League","2016",8,15.1,7.1
"4044","Defensive Midfield",25,"Super League","Premier League","2016",8,15.1,7.1
"4045","Right Winger",24,"Premier League","Serie A","2016",20,15,-5
"4046","Defensive Midfield",25,"Bundesliga","Bundesliga","2016",12,15,3
"4047","Right Winger",19,"Ligue 1","Bundesliga","2016",12,15,3
"4048","Centre-Forward",31,"Bundesliga","Super League","2016",6,15,9
"4049","Central Midfield",20,"Bundesliga","Premier League","2016",6,15,9
"4050","Right-Back",23,"Ligue 1","Ligue 1","2016",4,15,11
"4051","Left Winger",20,"LaLiga","Premier League","2016",3,15,12
"4052","Right Winger",23,"Liga NOS","Championship","2016",3,15,12
"4053","Attacking Midfield",22,"Liga MX Clausura","Liga MX Clausura","2016",5,14.75,9.75
"4054","Defensive Midfield",19,"Serie A","Serie A","2016",11,14.5,3.5
"4055","Defensive Midfield",25,"Premier League","Premier League","2016",15,14.4,-0.6
"4056","Second Striker",29,"Championship","Championship","2016",8,14.3,6.3
"4057","Centre-Forward",27,"LaLiga","Premier League","2016",12,14,2
"4058","Central Midfield",22,"Serie A","Serie A","2016",12,14,2
"4059","Left Winger",23,"2.Bundesliga","Bundesliga","2016",10,14,4
"4060","Centre-Back",31,"Premier League","Premier League","2016",8,14,6
"4061","Centre-Forward",20,"2.Bundesliga","Bundesliga","2016",8,14,6
"4062","Centre-Forward",23,"Premier League","Premier League","2016",15,13.9,-1.1
"4063","Left-Back",24,"Premier League","Premier League","2016",8,13.8,5.8
"4064","Left Winger",25,"Serie A","LaLiga","2016",14,13.75,-0.25
"4065","Left Winger",19,"Jupiler Pro League","Bundesliga","2016",12.5,13.5,1
"4066","Centre-Forward",27,"Premier League","Serie A","2016",10,13.5,3.5
"4067","Left Winger",22,"Championship","Premier League","2016",7.5,13.5,6
"4068","Left Winger",23,"Serie A","Serie A","2016",17,13,-4
"4069","Attacking Midfield",25,"Serie A","Premier League","2016",16,13,-3
"4070","Left Winger",24,"Serie A","LaLiga","2016",12,13,1
"4071","Goalkeeper",27,"Eredivisie","LaLiga","2016",12,13,1
"4072","Left-Back",21,"Ligue 1","Ligue 1","2016",6.5,13,6.5
"4073","Left-Back",22,"Bundesliga","Bundesliga","2016",4.5,13,8.5
"4074","Centre-Forward",26,"Championship","Championship","2016",2.5,12.9,10.4
"4075","Defensive Midfield",24,"Serie A","Premier Liga","2016",11,12.5,1.5
"4076","Attacking Midfield",24,"Bundesliga","Bundesliga","2016",10,12.5,2.5
"4077","Centre-Back",23,"Bundesliga","Bundesliga","2016",7,12.5,5.5
"4078","Attacking Midfield",30,"Super League","Super League","2016",0.4,12.44,12.04
"4079","Defensive Midfield",20,"Eredivisie","Bundesliga","2016",15,12,-3
"4080","Attacking Midfield",23,"UAE Gulf League","Premier League","2016",9,12,3
"4081","Left-Back",22,"Ligue 1","Bundesliga","2016",9,12,3
"4082","Central Midfield",25,"Bundesliga","Bundesliga","2016",8,12,4
"4083","Centre-Back",27,"Liga NOS","Serie A","2016",8,12,4
"4084","Centre-Forward",28,"Super League","Super League","2016",6,12,6
"4085","Right Midfield",26,"Premier League","Championship","2016",6,12,6
"4086","Right Winger",29,"Premier League","Premier League","2016",5,12,7
"4087","Centre-Forward",25,"Premier League","Championship","2016",3,12,9
"4089","Centre-Forward",27,"Bundesliga","Liga NOS","2016",7.5,11.85,4.35
"4090","Central Midfield",24,"Championship","Premier League","2016",1.5,11.8,10.3
"4091","Centre-Back",27,"Premier League","Premier League","2016",6,11.7,5.7
"4092","Centre-Back",24,"Eredivisie","Bundesliga","2016",7.75,11.5,3.75
"4093","Centre-Forward",25,"Bundesliga","Super League","2016",5.5,11.5,6
"4094","Defensive Midfield",27,"Premier League","Premier League","2016",4.5,11.5,7
"4095","Centre-Back",27,"Super League","League One","2016",0.175,11.5,11.325
"4096","Centre-Forward",30,"Premier League","Serie A","2016",18,11,-7
"4097","Attacking Midfield",23,"Eredivisie","Eredivisie","2016",11,11,0
"4098","Centre-Back",28,"Serie A","Ligue 1","2016",10,11,1
"4099","Left Winger",21,"Ligue 1","Premier League","2016",7,11,4
"4100","Centre-Forward",25,"Premier League","Bundesliga","2016",5,11,6
"4101","Right-Back",29,"Super League","Super League","2016",0.45,10.95,10.5
"4102","Left-Back",27,"Super League","Super League","2016",0.4,10.75,10.35
"4103","Second Striker",32,"Primera División","Super League","2016",8.5,10.5,2
"4104","Left-Back",29,"Serie A","Serie A","2016",6,10.5,4.5
"4105","Left-Back",26,"Premier League","Premier League","2016",6,10.5,4.5
"4106","Central Midfield",25,"Serie A","Premier League","2016",5,10.5,5.5
"4107","Centre-Forward",24,"Championship","Championship","2016",0.5,10.5,10
"4108","Centre-Back",24,"UAE Gulf League","Super League","2016",0.4,10.5,10.1
"4109","Right Midfield",29,"Super League","Super League","2016",0.25,10.4,10.15
"4110","Central Midfield",22,"Jupiler Pro League","Serie A","2016",9,10,1
"4111","Left Winger",24,"Stars League","Premier Liga","2016",7.5,10,2.5
"4112","Central Midfield",20,"Primera División","Ligue 1","2016",7.5,10,2.5
"4113","Centre-Back",26,"Serie A","Serie A","2016",5.5,10,4.5
"4114","Centre-Back",18,"Bundesliga","Bundesliga","2016",5,10,5
"4115","Attacking Midfield",25,"LaLiga","Premier Liga","2016",3,10,7
"4116","Left Winger",18,"1.HNL","Bundesliga","2016",1,10,9
"4117","Centre-Forward",24,"Liga águila II","Serie A","2016",1.75,9.85,8.1
"4118","Second Striker",29,"Serie A","Serie A","2016",12,9.8,-2.2
"4119","Defensive Midfield",22,"Ligue 1","Serie A","2016",4,9.8,5.8
"4120","Left Winger",18,"Superligaen","Bundesliga","2016",1,9.75,8.75
"4121","Left-Back",29,"League One","Super League","2016",0.125,9.65,9.525
"4122","Attacking Midfield",26,"Serie A","LaLiga","2016",9,9.5,0.5
"4123","Centre-Forward",25,"Ligue 1","LaLiga","2016",9,9.5,0.5
"4124","Centre-Back",27,"Premier League","Premier League","2016",4.5,9.5,5
"4125","Centre-Forward",26,"LaLiga","Serie A","2016",10,9.45,-0.550000000000001
"4126","Centre-Forward",24,"Premier League","Championship","2016",5.5,9.4,3.9
"4127","Attacking Midfield",23,"Premier League","Championship","2016",3,9.4,6.4
"4128","Centre-Back",27,"Premier League","Championship","2016",6,9.3,3.3
"4129","Defensive Midfield",21,"Serie A","Bundesliga","2016",9,9.2,0.199999999999999
"4130","Centre-Back",33,"Premier League","Premier League","2016",6,9.2,3.2
"4131","Centre-Forward",22,"Serie A","Serie A","2016",3,9.09,6.09
"4132","Right Midfield",27,"Super League","Super League","2016",0.225,9.05,8.825
"4133","Centre-Back",31,"LaLiga","Serie A","2016",16,9,-7
"4134","Attacking Midfield",24,"Serie A","Serie A","2016",12,9,-3
"4135","Central Midfield",22,"Ligue 1","Ligue 1","2016",10,9,-1
"4136","Centre-Back",23,"2.Bundesliga","Serie A","2016",10,9,-1
"4137","Left Winger",27,"Serie A","Serie A","2016",9.5,9,-0.5
"4138","Defensive Midfield",28,"Jupiler Pro League","Premier League","2016",7.5,9,1.5
"4139","Centre-Forward",26,"Serie A","Serie A","2016",6.5,9,2.5
"4140","Right Winger",28,"Ligue 1","Premier League","2016",6,9,3
"4141","Right-Back",27,"Championship","Premier League","2016",7.5,8.9,1.4
"4142","Centre-Forward",22,"Primera División","Super League","2016",1.2,8.9,7.7
"4143","Left Winger",19,"League One","Premier League","2016",1.5,8.8,7.3
"4144","Central Midfield",28,"Jupiler Pro League","Premier League","2016",6,8.6,2.6
"4145","Centre-Forward",17,"Allsvenskan","Bundesliga","2016",1.75,8.6,6.85
"4146","Left Winger",29,"Süper Lig","LaLiga","2016",14.5,8.5,-6
"4147","Central Midfield",26,"Championship","Premier League","2016",9,8.5,-0.5
"4148","Centre-Back",20,"Primera División","Ligue 1","2016",7,8.5,1.5
"4149","Attacking Midfield",28,"HET Liga","Super League","2016",3.5,8.5,5
"4150","Left-Back",20,"Serie A","Ligue 1","2016",2.5,8.5,6
"4151","Centre-Back",23,"Primera División","Serie A","2016",1.75,8.5,6.75
"4152","Attacking Midfield",24,"Primera División","Super League","2016",7,8.4,1.4
"4153","Right Midfield",27,"Super League","Super League","2016",0.225,8.28,8.055
"4154","Centre-Back",27,"Super League","Super League","2016",0.2,8.27,8.07
"4155","Right Winger",20,"Championship","Premier League","2016",8,8.25,0.25
"4156","Second Striker",22,"Serie A","Serie A","2016",3.5,8.25,4.75
"4157","Attacking Midfield",23,"Liga 1 - Championship group","Jupiler Pro League","2016",3.5,8.2,4.7
"4158","Left Winger",25,"Championship","Championship","2016",0.75,8.2,7.45
"4159","Defensive Midfield",28,"Super League","Super League","2016",0.2,8.2,8
"4160","Centre-Back",25,"LaLiga","Bundesliga","2016",12,8,-4
"4161","Defensive Midfield",28,"Serie A","Serie A","2016",9,8,-1
"4162","Attacking Midfield",26,"Championship","Ligue 1","2016",8,8,0
"4163","Right Winger",22,"Ligue 1","Championship","2016",7.5,8,0.5
"4164","Centre-Back",26,"Ligue 1","Bundesliga","2016",7,8,1
"4165","Goalkeeper",23,"Serie A","Serie A","2016",7,8,1
"4166","Centre-Forward",24,"Ligue 1","Liga MX Clausura","2016",5.5,8,2.5
"4167","Attacking Midfield",31,"Serie A","Super League","2016",5,8,3
"4168","Defensive Midfield",26,"LaLiga","LaLiga","2016",3.5,8,4.5
"4169","Centre-Back",21,"Liga NOS","Serie A","2016",3.5,8,4.5
"4170","Defensive Midfield",22,"Serie A","Premier Liga","2016",1.75,8,6.25
"4171","Left-Back",24,"Serie A","Serie A","2016",6,7.8,1.8
"4172","Attacking Midfield",31,"Süper Lig","Serie A","2016",8,7.5,-0.5
"4173","Second Striker",28,"Bundesliga","Bundesliga","2016",8,7.5,-0.5
"4174","Centre-Forward",20,"Serie A","LaLiga","2016",7.5,7.5,0
"4175","Centre-Back",25,"LaLiga","Bundesliga","2016",7,7.5,0.5
"4176","Attacking Midfield",22,"Primera División","MLS","2016",5.5,7.5,2
"4177","Centre-Forward",23,"Premier League","Super League","2016",2,7.25,5.25
"4178","Second Striker",28,"Ligat ha'Al","Super League","2016",4,7.23,3.23
"4179","Right Winger",21,"Primera División","LaLiga","2016",5,7.2,2.2
"4180","Left Winger",19,"Liga NOS","LaLiga","2016",3,7.2,4.2
"4181","Centre-Forward",28,"Championship","Premier League","2016",7,7.1,0.0999999999999996
"4182","Left-Back",22,"Super League","Premier League","2016",7,7.1,0.0999999999999996
"4183","Left Winger",25,"LaLiga","LaLiga","2016",10,7,-3
"4184","Centre-Forward",28,"Championship","Liga NOS","2016",9.5,7,-2.5
"4185","Goalkeeper",24,"Premier League","LaLiga","2016",8,7,-1
"4186","Defensive Midfield",29,"Premier Liga","Super League","2016",7,7,0
"4187","Left Winger",21,"Eredivisie","Ligue 1","2016",6.5,7,0.5
"4188","Centre-Forward",27,"LaLiga","Premier Liga","2016",6,7,1
"4189","Centre-Back",23,"Bundesliga","Bundesliga","2016",6,7,1
"4190","Attacking Midfield",26,"Serie A","Premier Liga","2016",5,7,2
"4191","Centre-Forward",23,"LaLiga","LaLiga","2016",4,7,3
"4192","Central Midfield",19,"Championship","Premier League","2016",4,7,3
"4193","Right Winger",29,"Liga MX Clausura","Liga MX Clausura","2016",3,7,4
"4194","Centre-Forward",22,"Liga águila II","League One","2016",1.15,7,5.85
"4195","Centre-Back",25,"Jupiler Pro League","Premier League","2016",6,6.95,0.95
"4196","Centre-Forward",23,"Premier League","Premier League","2016",5,6.9,1.9
"4197","Left-Back",23,"League One","Super League","2016",0.175,6.87,6.695
"4198","Left Winger",20,"Primera División"," Uruguay","2016",0.2,6.75,6.55
"4199","Goalkeeper",24,"Jupiler Pro League","Championship","2016",6.5,6.6,0.0999999999999996
"4200","Centre-Forward",27,"Liga MX Clausura","Liga MX Clausura","2016",3,6.6,3.6
"4201","Centre-Back",24,"Championship","Championship","2016",2.5,6.6,4.1
"4202","Left-Back",23,"Süper Lig","Liga NOS","2016",8.5,6.5,-2
"4203","Left-Back",22,"Serie A","Bundesliga","2016",6,6.5,0.5
"4204","Right Winger",25,"Championship","Premier League","2016",6,6.5,0.5
"4205","Attacking Midfield",26,"2.Bundesliga","LaLiga","2016",4.5,6.5,2
"4206","Centre-Forward",23,"LaLiga","Bundesliga","2016",3.5,6.5,3
"4207","Centre-Back",25,"Liga NOS","Liga NOS","2016",2.75,6.5,3.75
"4208","Right Winger",24,"Serie A","Serie A","2016",2,6.5,4.5
"4209","Centre-Forward",20,"Ligue 2","Premier League","2016",0.4,6.5,6.1
"4210","Central Midfield",20,"Super League","Premier League","2016",4.5,6.4,1.9
"4211","Goalkeeper",23,"Bundesliga","Premier League","2016",7,6.2,-0.8
"4212","Left Winger",25,"LaLiga","Ligue 1","2017",100,222,122
"4213","Attacking Midfield",25,"Premier League","LaLiga","2017",90,125,35
"4214","Right Winger",20,"Bundesliga","LaLiga","2017",33,115,82
"4215","Centre-Forward",24,"Premier League","Premier League","2017",50,84.7,34.7
"4216","Centre-Back",26,"Premier League","Premier League","2017",30,78.8,48.8
"4217","Centre-Forward",29,"Premier League","LaLiga","2017",50,66,16
"4218","Centre-Forward",24,"LaLiga","Premier League","2017",40,66,26
"4219","Centre-Back",23,"LaLiga","Premier League","2017",25,65,40
"4220","Centre-Forward",28,"Bundesliga","Premier League","2017",65,63.75,-1.25
"4221","Left-Back",23,"Ligue 1","Premier League","2017",13,57.5,44.5
"4222","Centre-Forward",26,"Ligue 1","Premier League","2017",40,53,13
"4223","Right-Back",27,"Premier League","Premier League","2017",30,52.7,22.7
"4224","Right Winger",22,"Ligue 1","Premier League","2017",40,50,10
"4225","Attacking Midfield",27,"Premier League","Premier League","2017",25,49.4,24.4
"4226","Defensive Midfield",29,"Premier League","Premier League","2017",35,44.7,9.7
"4227","Centre-Back",30,"Serie A","Serie A","2017",45,42,-3
"4228","Right Winger",25,"Serie A","Premier League","2017",35,42,7
"4229","Central Midfield",22,"Ligue 1","Bundesliga","2017",22,41.5,19.5
"4230","Right Winger",23,"Serie A","Serie A","2017",30,40,10
"4231","Centre-Forward",26,"LaLiga","Super League","2017",25,40,15
"4232","Goalkeeper",23,"Liga NOS","Premier League","2017",22,40,18
"4233","Defensive Midfield",22,"Ligue 1","Premier League","2017",16,40,24
"4234","Central Midfield",29,"Super League","LaLiga","2017",15,40,25
"4235","Centre-Back",21,"Eredivisie","Premier League","2017",12,40,28
"4236","Centre-Forward",21,"Liga NOS","Serie A","2017",22,38,16
"4237","Right Midfield",24,"Premier League","Premier League","2017",22,38,16
"4238","Central Midfield",27,"Premier League","Premier League","2017",9,37.9,28.9
"4239","Left Winger",27,"LaLiga","LaLiga","2017",25,36,11
"4240","Centre-Back",24,"Serie A","Premier League","2017",25,35,10
"4241","Centre-Back",22,"Liga NOS","Premier League","2017",22,35,13
"4242","Centre-Back",26,"LaLiga","LaLiga","2017",25,32,7
"4243","Right-Back",23,"Liga NOS","LaLiga","2017",20,30.57,10.57
"4244","Left Winger",24,"LaLiga","Super League","2017",40,30,-10
"4245","Left Winger",22,"Serie A","Ligue 1","2017",25,30,5
"4246","Right-Back",26,"LaLiga","Premier League","2017",16,30,14
"4247","Centre-Back",24,"Premier League","Premier League","2017",18,28.5,10.5
"4248","Goalkeeper",23,"Championship","Premier League","2017",15,28.5,13.5
"4249","Right Winger",25,"Ligue 1","Premier League","2017",28,28.4,0.399999999999999
"4250","Centre-Back",27,"Premier League","Premier League","2017",15,28.2,13.2
"4251","Centre-Forward",20,"Premier League","Premier League","2017",15,27.7,12.7
"4252","Attacking Midfield",24,"Eredivisie","Premier League","2017",18,27,9
"4253","Centre-Back",22,"Serie A","Serie A","2017",7,27,20
"4254","Central Midfield",20,"Jupiler Pro League","Ligue 1","2017",22,25,3
"4255","Right Winger",27,"Premier Liga","Bundesliga","2017",18,25,7
"4256","Right-Back",24,"Ligue 1","Premier League","2017",15,25,10
"4257","Right-Back",25,"Serie A","Premier League","2017",8.5,25,16.5
"4258","Central Midfield",28,"Liga NOS","Premier League","2017",25,24.5,-0.5
"4259","Left-Back",19,"LaLiga","LaLiga","2017",15,24,9
"4260","Central Midfield",25,"Serie A","Serie A","2017",13,24,11
"4261","Centre-Forward",24,"Primera División","Bundesliga","2017",12,24,12
"4262","Right-Back",23,"Serie A","Serie A","2017",10,24,14
"4263","Defensive Midfield",23,"Serie A","Premier Liga","2017",13,23,10
"4264","Left Winger",28,"Premier League","Premier League","2017",18,22.8,4.8
"4265","Centre-Back",22,"Premier League","Premier League","2017",8,22.8,14.8
"4266","Right Winger",28,"Premier League","Premier League","2017",20,22.5,2.5
"4267","Centre-Forward",26,"Süper Lig","Premier League","2017",10.5,22.5,12
"4268","Left Winger",28,"Premier League","Premier League","2017",15,22.3,7.3
"4269","Left Winger",23,"Bundesliga","Serie A","2017",20,22,2
"4270","Centre-Forward",26,"Ligue 1","Premier League","2017",6,22,16
"4271","Centre-Forward",26,"Serie A","LaLiga","2017",17,21.5,4.5
"4272","Centre-Back",22,"Super League","Bundesliga","2017",5,21.5,16.5
"4273","Left Winger",21,"Serie A","Bundesliga","2017",20,21,1
"4274","Centre-Forward",16,"Serie A","Ligue 1","2017",8,21,13
"4275","Centre-Forward",26,"Premier League","Premier League","2017",10,20.4,10.4
"4276","Central Midfield",30,"Ligue 1","Serie A","2017",30,20,-10
"4277","Right Winger",29,"Premier League","Serie A","2017",25,20,-5
"4278","Centre-Back",21,"Bundesliga","Bundesliga","2017",25,20,-5
"4279","Central Midfield",23,"Serie A","Serie A","2017",20,20,0
"4280","Central Midfield",26,"Bundesliga","Bundesliga","2017",15,20,5
"4281","Left Winger",23,"Bundesliga","Bundesliga","2017",15,20,5
"4282","Attacking Midfield",22,"LaLiga","Liga NOS","2017",14,20,6
"4283","Left-Back",23,"Serie A","Premier League","2017",14,20,6
"4284","Centre-Back",25,"Serie A","Serie A","2017",10,20,10
"4285","Left-Back",23,"Ligue 1","Serie A","2017",5,20,15
"4286","Centre-Back",24,"Premier League","Premier League","2017",7,19.4,12.4
