"","Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee","Price_diff","League_type_from","League_type_to"
"3073","Yura Movsisyan","Centre-Forward",25,"Krasnodar","Russian Premier Liga","Spartak Moscow","Russian Premier Liga","2012",3.2,7.5,4.3,"Europe","Europe"
"3074","Nick Powell","Attacking Midfield",18,"Crewe Alexandra","League One","Man Utd","Premier League","2012",0.25,7.5,7.25,"Big5 B","Big5"
"3075","Borja Valero","Central Midfield",27,"Villarreal CF","LaLiga2","Fiorentina","Serie A","2012",12,7,-5,"Big5 B","Big5"
"3076","Milos Krasic","Central Midfield",27,"Juventus","Serie A","Fenerbahce","Süper Lig","2012",11,7,-4,"Big5","Europe"
"3077","Mattia Destro","Centre-Forward",21,"Siena","Serie A","Genoa","Serie A","2012",10,7,-3,"Big5","Big5"
"3078","Pablo Hernández","Right Winger",27,"Valencia CF","LaLiga","Swansea","Premier League","2012",9,7,-2,"Big5","Big5"
"3079","Bas Dost","Centre-Forward",23,"Heerenveen","Eredivisie","VfL Wolfsburg","Bundesliga","2012",8,7,-1,"Europe","Big5"
"3080","Niko Kranjcar","Attacking Midfield",27,"Spurs","Premier League","Dynamo Kyiv","Ukranian Premier Liga","2012",7.5,7,-0.5,"Big5","Europe"
"3081","Philipp Wollscheid","Centre-Back",23,"1.FC Nuremberg","Bundesliga","Bay. Leverkusen","Bundesliga","2012",7.5,7,-0.5,"Big5","Big5"
"3082","Vedran Corluka","Centre-Back",26,"Spurs","Premier League","Loko Moscow","Russian Premier Liga","2012",7.5,7,-0.5,"Big5","Europe"
"3083","Sung-yong Ki","Defensive Midfield",23,"Celtic","Premiership","Swansea","Premier League","2012",3.5,7,3.5,"Europe","Big5"
"3084","Alessio Cerci","Right Winger",25,"Fiorentina","Serie A","Torino","Serie A","2012",6.5,6.75,0.25,"Big5","Big5"
"3085","Renato Augusto","Central Midfield",24,"Bay. Leverkusen","Bundesliga","Corinthians","Serie A","2012",7,6.7,-0.3,"Big5","Big5"
"3086","Luís Neto","Centre-Back",24,"Siena","Serie A","Zenit S-Pb","Russian Premier Liga","2012",6,6.5,0.5,"Big5","Europe"
"3087","Alberto Paloschi","Centre-Forward",23,"AC Milan","Serie A","Chievo Verona","Serie A","2012",5,6.5,1.5,"Big5","Big5"
"3088","Emmanuel Adebayor","Centre-Forward",28,"Man City","Premier League","Spurs","Premier League","2012",25,6.4,-18.6,"Big5","Big5"
"3089","Mathieu Debuchy","Right-Back",27,"LOSC Lille","Ligue 1","Newcastle","Premier League","2012",15,6.2,-8.8,"Big5","Big5"
"3090","Charlie Adam","Central Midfield",26,"Liverpool","Premier League","Stoke City","Premier League","2012",8,6.2,-1.8,"Big5","Big5"
"3091","Gregory van der Wiel","Right-Back",24,"AFC Ajax","Eredivisie","Paris SG","Ligue 1","2012",9,6,-3,"Europe","Big5"
"3092","Stéphane Mbia","Defensive Midfield",26,"Marseille","Ligue 1","QPR","Premier League","2012",9,6,-3,"Big5","Big5"
"3093","Rasmus Elm","Defensive Midfield",24,"AZ Alkmaar","Eredivisie","CSKA Moscow","Russian Premier Liga","2012",8,6,-2,"Europe","Europe"
"3094","Aly Cissokho","Left-Back",24,"Olympique Lyon","Ligue 1","Valencia CF","LaLiga","2012",7,6,-1,"Big5","Big5"
"3095","Vágner Love","Centre-Forward",28,"Flamengo","Serie A","CSKA Moscow","Russian Premier Liga","2012",6.5,6,-0.5,"Big5","Europe"
"3096","Iván Ramis","Centre-Back",27,"RCD Mallorca","LaLiga","Wigan","Premier League","2012",6,6,0,"Big5","Big5"
"3097","Wálter Montillo","Attacking Midfield",28,"Cruzeiro","Serie A","Santos FC","Serie A","2012",5,6,1,"Big5","Big5"
"3098","Modibo Ma?ga","Centre-Forward",24,"FC Sochaux","Ligue 1","West Ham","Premier League","2012",5,6,1,"Big5","Big5"
"3099","Luc Castaignos","Centre-Forward",19,"Inter","Serie A","FC Twente","Eredivisie","2012",4.5,6,1.5,"Big5","Europe"
"3100","Alex","Attacking Midfield",30,"Corinthians","Serie A","Al Gharafa","Stars League","2012",3.5,6,2.5,"Big5","Asia Africa"
"3102","Danny Graham","Centre-Forward",27,"Swansea","Premier League","Sunderland","Premier League","2012",4,5.8,1.8,"Big5","Big5"
"3103","André","Centre-Forward",21,"Dynamo Kyiv","Ukranian Premier Liga","Atlético-MG","Serie A","2012",2.5,5.8,3.3,"Europe","Big5"
"3104","Steven Pienaar","Left Winger",30,"Spurs","Premier League","Everton","Premier League","2012",7,5.75,-1.25,"Big5","Big5"
"3105","Elkeson","Centre-Forward",23,"Botafogo","Serie A","GZ Evergrande","China Super League","2012",3,5.7,2.7,"Big5","Asia Africa"
"3106","Marquinhos","Centre-Back",18,"Corinthians","Serie A","AS Roma","Serie A","2012",0.75,5.7,4.95,"Big5","Big5"
"3107","Julian Schieber","Centre-Forward",23,"VfB Stuttgart","Bundesliga","Bor. Dortmund","Bundesliga","2012",8,5.5,-2.5,"Big5","Big5"
"3108","Eren Derdiyok","Centre-Forward",24,"Bay. Leverkusen","Bundesliga","TSG Hoffenheim","Bundesliga","2012",7.5,5.5,-2,"Big5","Big5"
"3109","Dusan Tadic","Attacking Midfield",23,"FC Groningen","Eredivisie","FC Twente","Eredivisie","2012",7.5,5.5,-2,"Europe","Europe"
"3110","Eljero Elia","Left Winger",25,"Juventus","Serie A","Werder Bremen","Bundesliga","2012",5,5.5,0.5,"Big5","Big5"
"3111","ángelo Henríquez","Centre-Forward",18,"U. de Chile","Primera División","Man Utd","Premier League","2012",0.15,5.5,5.35,"Americas","Big5"
"3112","Ewerton","Centre-Back",23,"Coimbra-MG"," Brazil","Anzhi","Russian Premier Liga","2012",5.5,5.4,-0.0999999999999996,"Americas","Europe"
"3113","Wallace Oliveira","Right-Back",18,"Fluminense","Serie A","Chelsea","Premier League","2012",2,5.4,3.4,"Big5","Big5"
"3114","Ezequiel Schelotto","Right-Back",23,"Atalanta","Serie A","Inter","Serie A","2012",6.5,5.3,-1.2,"Big5","Big5"
"3115","Maicosuel","Left Winger",26,"Botafogo","Serie A","Udinese Calcio","Serie A","2012",2.5,5.3,2.8,"Big5","Big5"
"3116","Diego Tardelli","Centre-Forward",27,"Al Gharafa","Stars League","Atlético-MG","Serie A","2012",2,5.25,3.25,"Asia Africa","Big5"
"3117","Marko Livaja","Centre-Forward",19,"Inter","Serie A","Atalanta","Serie A","2012",1.8,5.05,3.25,"Big5","Big5"
"3118","Burak Yilmaz","Centre-Forward",27,"Trabzonspor","Süper Lig","Galatasaray","Süper Lig","2012",12,5,-7,"Europe","Europe"
"3119","Dimitar Berbatov","Centre-Forward",31,"Man Utd","Premier League","Fulham","Premier League","2012",11.5,5,-6.5,"Big5","Big5"
"3120","Antonio Cassano","Second Striker",30,"AC Milan","Serie A","Inter","Serie A","2012",10,5,-5,"Big5","Big5"
"3121","Bruno César","Left Midfield",24,"Benfica","Liga NOS","Ahli","Professional League","2012",9,5,-4,"Europe","Asia Africa"
"3122","Lassana Diarra","Defensive Midfield",27,"Real Madrid","LaLiga","Anzhi","Russian Premier Liga","2012",8,5,-3,"Big5","Europe"
"3123","Dedé","Centre-Back",24,"Vasco da Gama","Serie A","Cruzeiro","Serie A","2012",7.5,5,-2.5,"Big5","Big5"
"3124","Paulinho","Central Midfield",24,"Coimbra-MG"," Brazil","Corinthians","Serie A","2012",7.5,5,-2.5,"Americas","Big5"
"3125","Marko Devic","Centre-Forward",28,"Metalist","Ukranian Premier Liga","Shakhtar D.","Ukranian Premier Liga","2012",7,5,-2,"Europe","Europe"
"3126","Youssef El Arabi","Centre-Forward",25,"Hilal","Professional League","Granada CF","LaLiga","2012",6.5,5,-1.5,"Asia Africa","Big5"
"3127","Germán Denis","Centre-Forward",30,"Udinese Calcio","Serie A","Atalanta","Serie A","2012",5.5,5,-0.5,"Big5","Big5"
"3128","Alain Traoré","Attacking Midfield",23,"AJ Auxerre","Ligue 2","FC Lorient","Ligue 1","2012",5,5,0,"Big5 B","Big5"
"3129","Ben Foster","Goalkeeper",29,"Birmingham","Championship","West Brom","Premier League","2012",5,5,0,"Big5 B","Big5"
"3130","Daniel Congré","Centre-Back",27,"Toulouse","Ligue 1","Montpellier","Ligue 1","2012",4.5,5,0.5,"Big5","Big5"
"3131","Dame N'Doye","Centre-Forward",27,"FC Copenhagen","Superligaen","Loko Moscow","Russian Premier Liga","2012",4.5,5,0.5,"Europe","Europe"
"3132","Domagoj Vida","Centre-Back",23,"Dinamo Zagreb","1.HNL","Dynamo Kyiv","Ukranian Premier Liga","2012",4,5,1,"Europe","Europe"
"3133","Iván Marcano","Centre-Back",25,"Villarreal CF","LaLiga2","Rubin Kazan","Russian Premier Liga","2012",3.75,5,1.25,"Big5 B","Europe"
"3134","Alexander Büttner","Left-Back",23,"Vitesse","Eredivisie","Man Utd","Premier League","2012",3,5,2,"Europe","Big5"
"3135","Leandro Castán","Centre-Back",25,"Corinthians","Serie A","AS Roma","Serie A","2012",2.5,5,2.5,"Big5","Big5"
"3137","Naldo","Centre-Back",29,"Werder Bremen","Bundesliga","VfL Wolfsburg","Bundesliga","2012",6.5,4.8,-1.7,"Big5","Big5"
"3138","Dante","Centre-Back",28,"Bor. M'gladbach","Bundesliga","Bayern Munich ","Bundesliga","2012",8,4.7,-3.3,"Big5","Big5"
"3139","Alfred N'Diaye","Defensive Midfield",22,"Bursaspor","Süper Lig","Sunderland","Premier League","2012",3.8,4.7,0.9,"Europe","Big5"
"3140","Junior Fernandes","Left Winger",24,"U. de Chile","Primera División","Bay. Leverkusen","Bundesliga","2012",0.8,4.7,3.9,"Americas","Big5"
"3141","Salvatore Bocchetti","Centre-Back",26,"Rubin Kazan","Russian Premier Liga","Spartak Moscow","Russian Premier Liga","2012",13,4.5,-8.5,"Europe","Europe"
"3142","Federico Balzaretti","Left-Back",30,"US Palermo","Serie A","AS Roma","Serie A","2012",8.5,4.5,-4,"Big5","Big5"
"3143","Jonathan Biabiany","Right Winger",24,"Sampdoria","Serie A","Parma","Serie A","2012",8,4.5,-3.5,"Big5","Big5"
"3144","Mehmet Topal","Defensive Midfield",26,"Valencia CF","LaLiga","Fenerbahce","Süper Lig","2012",8,4.5,-3.5,"Big5","Europe"
"3145","Giovanni Moreno","Attacking Midfield",26,"Racing Club","Primera División","SH Shenhua","China Super League","2012",4.5,4.5,0,"Americas","Asia Africa"
"3146","Fernandinho","Left Winger",26,"Desp. Brasil"," Brazil","Al-Jazira","UAE Gulf League","2012",1,4.5,3.5,"Americas","Asia Africa"
"3147","Bryan Oviedo","Left-Back",22,"FC Copenhagen","Superligaen","Everton","Premier League","2012",0.8,4.5,3.7,"Europe","Big5"
"3148","Steven Nzonzi","Defensive Midfield",23,"Blackburn","Championship","Stoke City","Premier League","2012",4.5,4.4,-0.0999999999999996,"Big5 B","Big5"
"3149","Hanchao Yu","Left Winger",25,"Liaoning FC","China Super League","DL Yifang","China Super League","2012",0.25,4.3,4.05,"Asia Africa","Asia Africa"
"3150","Youssef Msakni","Left Winger",22,"Esperance","Ligue I Pro","Al Duhail","Stars League","2012",2.75,4.25,1.5,"Asia Africa","Asia Africa"
"3151","Nenad Tomovic","Centre-Back",25,"Genoa","Serie A","Fiorentina","Serie A","2012",1.3,4.2,2.9,"Big5","Big5"
"3152","Luciano Narsingh","Right Winger",21,"Heerenveen","Eredivisie","PSV Eindhoven","Eredivisie","2012",7,4.1,-2.9,"Europe","Europe"
"3153","Lima","Centre-Forward",29,"Braga","Liga NOS","Benfica","Liga NOS","2012",8,4,-4,"Europe","Europe"
"3154","Oussama Assaidi","Left Winger",24,"Heerenveen","Eredivisie","Liverpool","Premier League","2012",7,4,-3,"Europe","Big5"
"3155","Ciro Immobile","Centre-Forward",22,"Juventus","Serie A","Genoa","Serie A","2012",6.5,4,-2.5,"Big5","Big5"
"3156","Emmanuel Mayuka","Centre-Forward",21,"BSC Young Boys","Swiss Super League","Southampton","Premier League","2012",6,4,-2,"Europe","Big5"
"3157","Petr Jiracek","Central Midfield",26,"VfL Wolfsburg","Bundesliga","Hamburger SV","Bundesliga","2012",6,4,-2,"Big5","Big5"
"3158","Issiar Dia","Right Winger",25,"Fenerbahce","Süper Lig","Al Duhail","Stars League","2012",5,4,-1,"Europe","Asia Africa"
"3159","Delvin N'Dinga","Defensive Midfield",24,"AJ Auxerre","Ligue 2","Monaco","Ligue 2","2012",5,4,-1,"Big5 B","Big5 B"
"3160","Niklas Moisander","Centre-Back",26,"AZ Alkmaar","Eredivisie","AFC Ajax","Eredivisie","2012",5,4,-1,"Europe","Europe"
"3161","Richmond Boakye","Centre-Forward",19,"Genoa","Serie A","Juventus","Serie A","2012",5,4,-1,"Big5","Big5"
"3162","Chinedu Obasi","Right Winger",26,"TSG Hoffenheim","Bundesliga","FC Schalke 04","Bundesliga","2012",4.5,4,-0.5,"Big5","Big5"
"3163","Benjamin Corgnet","Attacking Midfield",25,"Dijon","Ligue 2","FC Lorient","Ligue 1","2012",4.5,4,-0.5,"Big5 B","Big5"
"3164","Samba Diakité","Defensive Midfield",23,"AS Nancy","Ligue 1","QPR","Premier League","2012",4.5,4,-0.5,"Big5","Big5"
"3165","Emmanuel Rivière","Centre-Forward",22,"Toulouse","Ligue 1","Monaco","Ligue 2","2012",4.5,4,-0.5,"Big5","Big5 B"
"3166","Romain Hamouma","Right Winger",25,"SM Caen","Ligue 2","Saint-étienne","Ligue 1","2012",4.5,4,-0.5,"Big5 B","Big5"
"3167","Francesco Acerbi","Centre-Back",24,"Chievo Verona","Serie A","AC Milan","Serie A","2012",4.5,4,-0.5,"Big5","Big5"
"3168","Milan Badelj","Defensive Midfield",23,"Dinamo Zagreb","1.HNL","Hamburger SV","Bundesliga","2012",4.5,4,-0.5,"Europe","Big5"
"3169","Vladislav Ignatjev","Right Midfield",25,"Loko Moscow","Russian Premier Liga","Krasnodar","Russian Premier Liga","2012",4,4,0,"Europe","Europe"
"3170","Francesco Acerbi","Centre-Back",24,"AC Milan","Serie A","Genoa","Serie A","2012",4,4,0,"Big5","Big5"
"3171","Willian","Centre-Forward",25,"Coimbra-MG"," Brazil","Metalist","Ukranian Premier Liga","2012",3,4,1,"Americas","Europe"
"3172","David Abraham","Centre-Back",26,"Getafe CF","LaLiga","TSG Hoffenheim","Bundesliga","2012",3,4,1,"Big5","Big5"
"3173","Geoffrey Kondogbia","Central Midfield",19,"Lens","Ligue 2","Sevilla FC","LaLiga","2012",3,4,1,"Big5 B","Big5"
"3174","Dorlan Pabón","Second Striker",24,"Atl. Nacional","Liga águila II","Parma","Serie A","2012",2.8,4,1.2,"Other B","Big5"
"3175","Sadio Diallo","Attacking Midfield",21,"SC Bastia","Ligue 1","Stade Rennais","Ligue 1","2012",2.5,4,1.5,"Big5","Big5"
"3176","Ibrahima Baldé","Centre-Forward",23,"CA Osasuna","LaLiga","Kuban Krasnodar","Russian Premier Liga","2012",2.5,4,1.5,"Big5","Europe"
"3177","Gabriel Silva","Left-Back",21,"Granada CF","LaLiga","Udinese Calcio","Serie A","2012",2.5,4,1.5,"Big5","Big5"
"3178","Marcos Rojo","Centre-Back",22,"Spartak Moscow","Russian Premier Liga","Sporting CP","Liga NOS","2012",2,4,2,"Europe","Europe"
"3179","Valentín Viola","Left Winger",20,"Racing Club","Primera División","Sporting CP","Liga NOS","2012",1.4,4,2.6,"Americas","Europe"
"3180","Ismaily","Left-Back",23,"Braga","Liga NOS","Shakhtar D.","Ukranian Premier Liga","2012",1.3,4,2.7,"Europe","Europe"
"3181","Andrey Eshchenko","Right-Back",28,"Loko Moscow","Russian Premier Liga","Anzhi","Russian Premier Liga","2012",1.2,4,2.8,"Europe","Europe"
"3182","Sadio Mané","Left Winger",20,"FC Metz","Championnat National","RB Salzburg","Bundesliga","2012",0.5,4,3.5,"Big5 B","Big5"
"3183","Arouna Koné","Centre-Forward",28,"Levante UD","LaLiga","Wigan","Premier League","2012",7,3.8,-3.2,"Big5","Big5"
"3184","Ron Vlaar","Centre-Back",27,"Feyenoord","Eredivisie","Aston Villa","Premier League","2012",6,3.8,-2.2,"Europe","Big5"
"3185","Bakary Sako","Left Winger",24,"Saint-étienne","Ligue 1","Wolves","Championship","2012",5,3.8,-1.2,"Big5","Big5 B"
"3186","Nicola Leali","Goalkeeper",19,"Brescia","Serie B","Juventus","Serie A","2012",3.5,3.8,0.3,"Big5 B","Big5"
"3187","Leon Best","Centre-Forward",25,"Newcastle","Premier League","Blackburn","Championship","2012",3,3.8,0.8,"Big5","Big5 B"
"3188","Adrian Mariappa","Centre-Back",25,"Watford","Championship","Reading","Premier League","2012",2,3.8,1.8,"Big5 B","Big5"
"3189","Jack Butland","Goalkeeper",19,"Birmingham","Championship","Stoke City","Premier League","2012",1,3.8,2.8,"Big5 B","Big5"
"3190","Alexis Rolín","Centre-Back",23,"Nacional","Primera División","Catania","Serie A","2012",0.9,3.8,2.9,"Americas","Big5"
"3191","Maicon","Right-Back",31,"Inter","Serie A","Man City","Premier League","2012",14.5,3.75,-10.75,"Big5","Big5"
"3192","Junior Hoilett","Left Winger",22,"Blackburn","Championship","QPR","Premier League","2012",9,3.75,-5.25,"Big5 B","Big5"
"3193","Hasan Ali Kaldirim","Left-Back",22,"Kayserispor","Süper Lig","Fenerbahce","Süper Lig","2012",4,3.75,-0.25,"Europe","Europe"
"3194","Michael Bradley","Central Midfield",24,"Chievo Verona","Serie A","AS Roma","Serie A","2012",3.5,3.75,0.25,"Big5","Big5"
"3195","Matthew Lowton","Right-Back",23,"Sheffield Utd.","League One","Aston Villa","Premier League","2012",3.5,3.75,0.25,"Big5 B","Big5"
"3196","Josef","Defensive Midfield",23,"FC Porto","Liga NOS","Grêmio","Serie A","2012",2.5,3.75,1.25,"Europe","Big5"
"3197","Jo?o Pereira","Right-Back",28,"Sporting CP","Liga NOS","Valencia CF","LaLiga","2012",10.5,3.7,-6.8,"Europe","Big5"
"3198","Ante Vukusic","Centre-Forward",21,"Hajduk Split","1.HNL","Pescara","Serie A","2012",5,3.7,-1.3,"Europe","Big5"
"3199","Jirès Kembo-Ekoko","Left Winger",24,"Stade Rennais","Ligue 1","Al-Ain FC","UAE Gulf League","2012",4,3.7,-0.3,"Big5","Asia Africa"
"3200","Jonathas","Centre-Forward",23,"Brescia","Serie B","Pescara","Serie A","2012",2,3.7,1.7,"Big5 B","Big5"
"3201","Luís Neto","Centre-Back",24,"Nacional","Liga NOS","Siena","Serie A","2012",3,3.65,0.65,"Europe","Big5"
"3202","Andrea Rossi","Left-Back",25,"Siena","Serie A","Parma","Serie A","2012",0.3,3.6,3.3,"Big5","Big5"
"3203","Barreto","Second Striker",27,"Udinese Calcio","Serie A","Torino","Serie A","2012",2,3.55,1.55,"Big5","Big5"
"3204","Nigel de Jong","Defensive Midfield",27,"Man City","Premier League","AC Milan","Serie A","2012",13,3.5,-9.5,"Big5","Big5"
"3205","Emiliano Insúa","Left-Back",24,"Sporting CP","Liga NOS","Atlético Madrid","LaLiga","2012",10,3.5,-6.5,"Europe","Big5"
"3206","Sokratis","Centre-Back",24,"Genoa","Serie A","Werder Bremen","Bundesliga","2012",10,3.5,-6.5,"Big5","Big5"
"3207","Diego López","Goalkeeper",30,"Villarreal CF","LaLiga2","Sevilla FC","LaLiga","2012",8,3.5,-4.5,"Big5 B","Big5"
"3208","Zvjezdan Misimovic","Attacking Midfield",30,"Dinamo Moscow","Russian Premier Liga","BJ Renhe","China Super League","2012",6.5,3.5,-3,"Europe","Asia Africa"
"3209","Fernando Gago","Defensive Midfield",26,"Real Madrid","LaLiga","Valencia CF","LaLiga","2012",6.5,3.5,-3,"Big5","Big5"
"3210","Anthony Mounier","Left Winger",24,"OGC Nice","Ligue 1","Montpellier","Ligue 1","2012",6,3.5,-2.5,"Big5","Big5"
"3211","Paolo Guerrero","Centre-Forward",28,"Hamburger SV","Bundesliga","Corinthians","Serie A","2012",6,3.5,-2.5,"Big5","Big5"
"3212","Artjoms Rudnevs","Centre-Forward",24,"Lech Poznan","Ekstraklasa","Hamburger SV","Bundesliga","2012",5.5,3.5,-2,"Europe","Big5"
"3213","Hamit Altintop","Central Midfield",29,"Real Madrid","LaLiga","Galatasaray","Süper Lig","2012",5,3.5,-1.5,"Big5","Europe"
"3214","Mattia Cassani","Right-Back",28,"US Palermo","Serie A","Fiorentina","Serie A","2012",4.5,3.5,-1,"Big5","Big5"
"3215","Marquinho","Left Midfield",26,"Fluminense","Serie A","AS Roma","Serie A","2012",4.5,3.5,-1,"Big5","Big5"
"3216","éder","Second Striker",25,"RC Cesena","Serie B","Sampdoria","Serie A","2012",4,3.5,-0.5,"Big5 B","Big5"
"3217","Razak Boukari","Right Winger",25,"Stade Rennais","Ligue 1","Wolves","Championship","2012",3.5,3.5,0,"Big5","Big5 B"
"3218","Gareth Bale","Right Winger",24,"Spurs","Premier League","Real Madrid","LaLiga","2013",65,101,36,"Big5","Big5"
"3219","Neymar","Left Winger",21,"Santos FC","Serie A","FC Barcelona","LaLiga","2013",50,88.2,38.2,"Big5","Big5"
"3220","Edinson Cavani","Centre-Forward",26,"SSC Napoli","Serie A","Paris SG","Ligue 1","2013",55,64.5,9.5,"Big5","Big5"
"3221","Mesut ?zil","Attacking Midfield",24,"Real Madrid","LaLiga","Arsenal","Premier League","2013",40,47,7,"Big5","Big5"
"3222","James Rodríguez","Attacking Midfield",21,"FC Porto","Liga NOS","Monaco","Ligue 1","2013",23,45,22,"Europe","Big5"
"3223","Juan Mata","Attacking Midfield",25,"Chelsea","Premier League","Man Utd","Premier League","2013",38,44.73,6.73,"Big5","Big5"
"3224","Falcao","Centre-Forward",27,"Atlético Madrid","LaLiga","Monaco","Ligue 1","2013",60,43,-17,"Big5","Big5"
"3225","Fernandinho","Defensive Midfield",28,"Shakhtar D.","Ukranian Premier Liga","Man City","Premier League","2013",32,40,8,"Europe","Big5"
"3226","Gonzalo Higuaín","Centre-Forward",25,"Real Madrid","LaLiga","SSC Napoli","Serie A","2013",30,39,9,"Big5","Big5"
"3227","Mario G?tze","Attacking Midfield",21,"Bor. Dortmund","Bundesliga","Bayern Munich ","Bundesliga","2013",45,37,-8,"Big5","Big5"
"3228","Willian","Right Winger",25,"Anzhi","Russian Premier Liga","Chelsea","Premier League","2013",30,35.5,5.5,"Europe","Big5"
"3229","Marouane Fellaini","Central Midfield",25,"Everton","Premier League","Man Utd","Premier League","2013",28,32.4,4.4,"Big5","Big5"
"3230","Asier Illarramendi","Defensive Midfield",23,"Real Sociedad","LaLiga","Real Madrid","LaLiga","2013",12,32,20,"Big5","Big5"
"3231","Marquinhos","Centre-Back",19,"AS Roma","Serie A","Paris SG","Ligue 1","2013",15,31.4,16.4,"Big5","Big5"
"3232","Roberto Soldado","Centre-Forward",28,"Valencia CF","LaLiga","Spurs","Premier League","2013",28,30,2,"Big5","Big5"
"3233","Isco","Attacking Midfield",21,"Málaga CF","LaLiga","Real Madrid","LaLiga","2013",25,30,5,"Big5","Big5"
"3234","érik Lamela","Right Winger",21,"AS Roma","Serie A","Spurs","Premier League","2013",23,30,7,"Big5","Big5"
"3235","Henrikh Mkhitaryan","Attacking Midfield",24,"Shakhtar D.","Ukranian Premier Liga","Bor. Dortmund","Bundesliga","2013",22,27.5,5.5,"Europe","Big5"
"3236","Stevan Jovetic","Centre-Forward",23,"Fiorentina","Serie A","Man City","Premier League","2013",28,26,-2,"Big5","Big5"
"3237","Jo?o Moutinho","Central Midfield",26,"FC Porto","Liga NOS","Monaco","Ligue 1","2013",30,25,-5,"Europe","Big5"
"3238","Nemanja Matic","Defensive Midfield",25,"Benfica","Liga NOS","Chelsea","Premier League","2013",27,25,-2,"Europe","Big5"
"3239","Thiago","Central Midfield",22,"FC Barcelona","LaLiga","Bayern Munich ","Bundesliga","2013",22,25,3,"Big5","Big5"
"3240","álvaro Negredo","Centre-Forward",27,"Sevilla FC","LaLiga","Man City","Premier League","2013",20,25,5,"Big5","Big5"
"3241","Yohan Cabaye","Central Midfield",28,"Newcastle","Premier League","Paris SG","Ligue 1","2013",20,25,5,"Big5","Big5"
"3242","Bernard","Left Winger",20,"Atlético-MG","Serie A","Shakhtar D.","Ukranian Premier Liga","2013",10,25,15,"Big5","Europe"
"3243","André Schürrle","Left Winger",22,"Bay. Leverkusen","Bundesliga","Chelsea","Premier League","2013",25,22,-3,"Big5","Big5"
"3244","Kevin De Bruyne","Attacking Midfield",22,"Chelsea","Premier League","VfL Wolfsburg","Bundesliga","2013",15,22,7,"Big5","Big5"
"3245","Jesús Navas","Right Winger",27,"Sevilla FC","LaLiga","Man City","Premier League","2013",20,20,0,"Big5","Big5"
"3246","Juan Cuadrado","Right Winger",25,"Udinese Calcio","Serie A","Fiorentina","Serie A","2013",15,20,5,"Big5","Big5"
"3247","Geoffrey Kondogbia","Central Midfield",20,"Sevilla FC","LaLiga","Monaco","Ligue 1","2013",15,20,5,"Big5","Big5"
"3248","Paulinho","Central Midfield",24,"Corinthians","Serie A","Spurs","Premier League","2013",12,19.73,7.73,"Big5","Big5"
"3249","Aleksandr Kokorin","Centre-Forward",22,"Anzhi","Russian Premier Liga","Dinamo Moscow","Russian Premier Liga","2013",15,19,4,"Europe","Europe"
"3250","Mamadou Sakho","Centre-Back",23,"Paris SG","Ligue 1","Liverpool","Premier League","2013",15,19,4,"Big5","Big5"
"3251","Aleksandr Kokorin","Centre-Forward",22,"Dinamo Moscow","Russian Premier Liga","Anzhi","Russian Premier Liga","2013",12,19,7,"Europe","Europe"
"3252","Hernanes","Attacking Midfield",28,"Lazio","Serie A","Inter","Serie A","2013",22,18,-4,"Big5","Big5"
"3253","José Salomón Rondón","Centre-Forward",24,"Rubin Kazan","Russian Premier Liga","Zenit S-Pb","Russian Premier Liga","2013",11,18,7,"Europe","Europe"
"3254","Kevin Strootman","Central Midfield",23,"PSV Eindhoven","Eredivisie","AS Roma","Serie A","2013",13,17.5,4.5,"Europe","Big5"
"3255","Andy Carroll","Centre-Forward",24,"Liverpool","Premier League","West Ham","Premier League","2013",11,17.5,6.5,"Big5","Big5"
"3256","Mohamed Salah","Right Winger",21,"FC Basel","Swiss Super League","Chelsea","Premier League","2013",8.5,16.5,8,"Europe","Big5"
"3257","Luiz Gustavo","Defensive Midfield",26,"Bayern Munich ","Bundesliga","VfL Wolfsburg","Bundesliga","2013",18,16,-2,"Big5","Big5"
"3258","Wilfried Bony","Centre-Forward",24,"Vitesse","Eredivisie","Swansea","Premier League","2013",12,16,4,"Europe","Big5"
"3259","Mario Gómez","Centre-Forward",28,"Bayern Munich ","Bundesliga","Fiorentina","Serie A","2013",28,15.5,-12.5,"Big5","Big5"
"3260","James McCarthy","Central Midfield",22,"Wigan","Championship","Everton","Premier League","2013",7.5,15.3,7.8,"Big5 B","Big5"
"3261","Konstantinos Mitroglou","Centre-Forward",25,"Olympiacos","Greece Super League","Fulham","Premier League","2013",7.2,15.2,8,"Europe","Big5"
"3262","Daniel Osvaldo","Centre-Forward",27,"AS Roma","Serie A","Southampton","Premier League","2013",17,15.1,-1.9,"Big5","Big5"
"3263","Igor Denisov","Defensive Midfield",29,"Anzhi","Russian Premier Liga","Dinamo Moscow","Russian Premier Liga","2013",16,15,-1,"Europe","Europe"
"3264","Igor Denisov","Defensive Midfield",29,"Zenit S-Pb","Russian Premier Liga","Anzhi","Russian Premier Liga","2013",16,15,-1,"Europe","Europe"
"3265","Moubarak Boussoufa","Attacking Midfield",29,"Anzhi","Russian Premier Liga","Loko Moscow","Russian Premier Liga","2013",14,15,1,"Europe","Europe"
"3266","Angelo Ogbonna","Centre-Back",25,"Torino","Serie A","Juventus","Serie A","2013",12,15,3,"Big5","Big5"
