"","Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee","Price_diff","League_type_from","League_type_to"
"2085","Andrea Raggi","Centre-Back",24,"FC Empoli","Serie B","US Palermo","Serie A","2008",4.3,7,2.7,"Big5 B","Big5"
"2086","Dave Kitson","Centre-Forward",28,"Reading","Championship","Stoke City","Premier League","2008",4.25,7,2.75,"Big5 B","Big5"
"2087","Zoran Tosic","Right Winger",21,"Partizan","SuperLiga","Man Utd","Premier League","2008",4.25,7,2.75,"Europe","Big5"
"2088","Daniel Osvaldo","Centre-Forward",23,"Fiorentina","Serie A","Bologna","Serie A","2008",4,7,3,"Big5","Big5"
"2089","Cristian Rodríguez","Left Midfield",22,"Paris SG","Ligue 1","FC Porto","Liga NOS","2008",3.5,7,3.5,"Big5","Europe"
"2090","Lautaro Acosta","Left Winger",20,"Lanús","Primera División","Sevilla FC","LaLiga","2008",2.9,7,4.1,"Americas","Big5"
"2091","Sidnei","Centre-Back",18,"Internacional","Serie A","Benfica","Liga NOS","2008",1.5,7,5.5,"Big5","Europe"
"2092","Fernand?o","Centre-Forward",30,"Internacional","Serie A","Al Gharafa","Stars League","2008",1,7,6,"Big5","Asia Africa"
"2093","Daniele Dessena","Central Midfield",21,"Parma","Serie B","Sampdoria","Serie A","2008",4,6.7,2.7,"Big5 B","Big5"
"2094","Federico Marchetti","Goalkeeper",25,"UC AlbinoLeffe","Serie B","Cagliari Calcio","Serie A","2008",1,6.7,5.7,"Big5 B","Big5"
"2095","Sébastien Squillaci","Centre-Back",27,"Olympique Lyon","Ligue 1","Sevilla FC","LaLiga","2008",15,6.5,-8.5,"Big5","Big5"
"2096","Yoan Gouffran","Left Winger",22,"SM Caen","Ligue 1","G. Bordeaux","Ligue 1","2008",6,6.5,0.5,"Big5","Big5"
"2097","Jozy Altidore","Centre-Forward",18,"NY Red Bulls","MLS","Villarreal CF","LaLiga","2008",1.75,6.5,4.75,"Americas","Big5"
"2098","Charles N'Zogbia","Right Winger",22,"Newcastle","Premier League","Wigan","Premier League","2008",7,6.4,-0.6,"Big5","Big5"
"2099","Aaron Ramsey","Central Midfield",17,"Cardiff","Championship","Arsenal","Premier League","2008",5,6.4,1.4,"Big5 B","Big5"
"2100","Fabrice Muamba","Central Midfield",20,"Birmingham","Championship","Bolton","Premier League","2008",4.5,6.4,1.9,"Big5 B","Big5"
"2101","Tal Ben Haim","Centre-Back",26,"Chelsea","Premier League","Man City","Premier League","2008",4,6.4,2.4,"Big5","Big5"
"2102","Luis Jiménez","Attacking Midfield",24,"Ternana","Serie C","Inter","Serie A","2008",9,6.3,-2.7,"Big5 B","Big5"
"2103","Valon Behrami","Defensive Midfield",23,"Lazio","Serie A","West Ham","Premier League","2008",8,6.3,-1.7,"Big5","Big5"
"2104","Steve Sidwell","Central Midfield",25,"Chelsea","Premier League","Aston Villa","Premier League","2008",4,6.3,2.3,"Big5","Big5"
"2105","Younès Kaboul","Centre-Back",22,"Spurs","Premier League","Portsmouth","Premier League","2008",6.5,6.25,-0.25,"Big5","Big5"
"2106","Alex Silva","Centre-Back",23,"Iraty SC"," Brazil","Hamburger SV","Bundesliga","2008",5,6.2,1.2,"Americas","Big5"
"2107","G?khan ünal","Centre-Forward",25,"Kayserispor","Süper Lig","Trabzonspor","Süper Lig","2008",4.2,6.2,2,"Europe","Europe"
"2108","Marco Amelia","Goalkeeper",26,"AS Livorno","Serie B","US Palermo","Serie A","2008",12,6,-6,"Big5 B","Big5"
"2109","Fernando Meira","Centre-Back",30,"Galatasaray","Süper Lig","Zenit S-Pb","Russian Premier Liga","2008",8.5,6,-2.5,"Europe","Europe"
"2110","Sébastien Puygrenier","Centre-Back",26,"AS Nancy","Ligue 1","Zenit S-Pb","Russian Premier Liga","2008",7.5,6,-1.5,"Big5","Europe"
"2111","Giovani dos Santos","Second Striker",19,"FC Barcelona","LaLiga","Spurs","Premier League","2008",6,6,0,"Big5","Big5"
"2112","Gaby Mudingayi","Defensive Midfield",26,"Lazio","Serie A","Bologna","Serie A","2008",5.5,6,0.5,"Big5","Big5"
"2113","Dudu Cearense","Central Midfield",25,"CSKA Moscow","Russian Premier Liga","Olympiacos","Greece Super League","2008",5.5,6,0.5,"Europe","Europe"
"2114","Ognjen Vukojevic","Defensive Midfield",24,"Dinamo Zagreb","1.HNL","Dynamo Kyiv","Ukranian Premier Liga","2008",5,6,1,"Europe","Europe"
"2115","Brand?o","Centre-Forward",28,"Shakhtar D.","Ukranian Premier Liga","Marseille","Ligue 1","2008",5,6,1,"Europe","Big5"
"2116","Pelé","Central Midfield",20,"Inter","Serie A","FC Porto","Liga NOS","2008",4,6,2,"Big5","Europe"
"2117","Roberto Soldado","Centre-Forward",23,"Real Madrid","LaLiga","Getafe CF","LaLiga","2008",4,6,2,"Big5","Big5"
"2118","Aritz Aduriz","Centre-Forward",27,"Athletic Bilbao","LaLiga","RCD Mallorca","LaLiga","2008",3.8,6,2.2,"Big5","Big5"
"2119","Nélson","Right-Back",25,"Benfica","Liga NOS","Real Betis","LaLiga","2008",3.2,6,2.8,"Europe","Big5"
"2120","Mirel Radoi","Defensive Midfield",27,"FCS Bucharest","Liga 1","Hilal"," Saudi Arabia","2008",3,6,3,"Europe","Asia Africa"
"2122","Borja Valero","Central Midfield",23,"RCD Mallorca","LaLiga","West Brom","Premier League","2008",3.8,5.9,2.1,"Big5","Big5"
"2123","Jonás Gutiérrez","Left Midfield",25,"RCD Mallorca","LaLiga","Newcastle","Premier League","2008",6,5.8,-0.2,"Big5","Big5"
"2124","Jesús Dátolo","Attacking Midfield",24,"Boca Juniors","Primera División","SSC Napoli","Serie A","2008",3.3,5.7,2.4,"Americas","Big5"
"2125","Xisco","Centre-Forward",22,"Dep. La Coru?a","LaLiga","Newcastle","Premier League","2008",5,5.68,0.68,"Big5","Big5"
"2126","Marko Basa","Centre-Back",25,"Le Mans","Ligue 1","Loko Moscow","Russian Premier Liga","2008",6.5,5.5,-1,"Big5","Europe"
"2127","Joseba Llorente","Centre-Forward",28,"Real Valladolid","LaLiga","Villarreal CF","LaLiga","2008",6,5.5,-0.5,"Big5","Big5"
"2128","Milan Baros","Centre-Forward",26,"Olympique Lyon","Ligue 1","Galatasaray","Süper Lig","2008",4.5,5.5,1,"Big5","Europe"
"2129","George McCartney","Left-Back",27,"West Ham","Premier League","Sunderland","Premier League","2008",4,5.5,1.5,"Big5","Big5"
"2130","Orlando Engelaar","Defensive Midfield",28,"FC Twente","Eredivisie","FC Schalke 04","Bundesliga","2008",3.5,5.5,2,"Europe","Big5"
"2131","Leandro Rinaudo","Centre-Back",25,"US Palermo","Serie A","SSC Napoli","Serie A","2008",2.5,5.5,3,"Big5","Big5"
