"","Position","Age","Team_from","Team_to","Season","Market_value","Transfer_fee","Price_diff"
"1428","Centre-Back",20,"AZ Alkmaar","Feyenoord","2005",1.5,2.5,1
"1429","Centre-Forward",25,"Br?ndby IF","Real Sociedad","2005",1.25,2.5,1.25
"1430","Left-Back",29,"Braga","Dinamo Moscow","2005",1,2.5,1.5
"1431","Centre-Back",22,"Dinamo Zagreb","Marseille","2005",1,2.5,1.5
"1432","Left Winger",19,"Arsenal","Spartak Moscow","2005",0.75,2.5,1.75
"1435","Attacking Midfield",25,"Independiente","Boca Juniors","2005",4.5,2.48,-2.02
"1436","Centre-Back",22,"Juventude","Werder Bremen","2005",2.75,2.4,-0.35
"1437","Centre-Forward",22,"Hibernian FC","Loko Moscow","2005",2,2.4,0.4
"1439","Centre-Forward",22,"Racing Club","FC Porto","2005",5.5,2.3,-3.2
"1440","Central Midfield",28,"Spurs","Fulham","2005",3,2.3,-0.7
"1442","Right Midfield",31,"Aston Villa","Newcastle","2005",5,2.25,-2.75
"1443","Left-Back",24,"Charlton","West Ham","2005",3.5,2.25,-1.25
"1444","Right Winger",24,"Modena","West Brom","2005",2.5,2.25,-0.25
"1445","Central Midfield",21,"Birmingham","West Brom","2005",2.25,2.25,0
"1446","Centre-Forward",28,"Bor. M'gladbach","Galatasaray","2005",1.5,2.25,0.75
"1447","Central Midfield",26,"Norwich","Wigan","2005",0.55,2.25,1.7
"1448","Central Midfield",21,"Liverpool","Hull City","2005",0.25,2.25,2
"1449","Left-Back",27,"Werder Bremen","Corinthians","2005",2.5,2.2,-0.3
"1451","Centre-Back",29,"Standard Liège","Sevilla FC","2005",2.5,2.1,-0.4
"1452","Left Midfield",28,"Real Madrid","Inter","2005",7,2,-5
"1453","Left-Back",30,"FC Porto","Everton","2005",5,2,-3
"1454","Left-Back",28,"PSV Eindhoven","Spurs","2005",4,2,-2
"1455","Centre-Back",25,"Austria Vienna","FC Sochaux","2005",3.8,2,-1.8
"1456","Centre-Forward",31,"Elche CF","Wolves","2005",3.75,2,-1.75
"1457","Right-Back",25,"Arm. Bielefeld","Werder Bremen","2005",3.25,2,-1.25
"1458","Central Midfield",24,"Braga","Sporting CP","2005",3,2,-1
"1459","Centre-Forward",26,"SM Caen","Saint-étienne","2005",3,2,-1
"1460","Central Midfield",27,"Partizan","Galatasaray","2005",3,2,-1
"1461","Defensive Midfield",26,"Málaga CF","Real Betis","2005",2,2,0
"1462","Second Striker",23,"Real Sociedad","Ulsan","2005",2,2,0
"1463","Centre-Forward",25,"Lok. Plovdiv","Al Ahli","2005",2,2,0
"1464","Centre-Forward",21,"Atlético Madrid","Dep. La Coru?a","2005",1.5,2,0.5
"1465","Centre-Back",23,"Zbrojovka Brno","Loko Moscow","2005",1.25,2,0.75
"1466","Central Midfield",28,"Stabaek IF","SK Brann","2005",1.25,2,0.75
"1467","Goalkeeper",21,"Grasshoppers","Loko Moscow","2005",0.75,2,1.25
"1468","Left-Back",26,"Lazio","Panathinaikos","2005",0.6,2,1.4
"1469","Centre-Back",25,"Cardiff","West Ham","2005",0.6,2,1.4
"1470","Centre-Back",21,"Cardiff","West Ham","2005",0.6,2,1.4
"1471","Attacking Midfield",23,"Fluminense","Flamengo","2005",0.25,2,1.75
"1472","Centre-Forward",27,"Watford","Fulham","2005",0.2,2,1.8
"1473","Centre-Forward",22,"Spartak Moscow","Tom Tomsk","2005",0.05,2,1.95
"1474","Goalkeeper",22,"Stoke City","Man Utd","2005",0.05,2,1.95
"1480","Centre-Forward",29,"AC Milan","Chelsea","2006",51,43.3,-7.7
"1481","Defensive Midfield",25,"Spurs","Man Utd","2006",26.5,27.2,0.699999999999999
"1482","Defensive Midfield",25,"Olympique Lyon","Real Madrid","2006",20,26,6
"1483","Right Winger",25,"Real Betis","Valencia CF","2006",22,25,3
"1484","Centre-Forward",24,"Juventus","Inter","2006",25,24.8,-0.199999999999999
"1485","Centre-Forward",18,"Independiente","Atlético Madrid","2006",5,21.7,16.7
"1486","Defensive Midfield",20,"Boca Juniors","Real Madrid","2006",12,20.5,8.5
"1488","Right Winger",26,"Feyenoord","Liverpool","2006",17.25,18,0.75
"1489","Defensive Midfield",30,"Juventus","Real Madrid","2006",26,16,-10
"1490","Centre-Forward",21,"Inter","Newcastle","2006",12,16,4
"1491","Centre-Forward",25,"Bay. Leverkusen","Spurs","2006",17,15.7,-1.3
"1492","Right Midfield",27,"Chelsea","Newcastle","2006",15,15.5,0.5
"1493","Centre-Forward",30,"Man Utd","Real Madrid","2006",32,15,-17
"1494","Centre-Forward",26,"Real Betis","AC Milan","2006",6,15,9
"1495","Second Striker",22,"Corinthians","West Ham","2006",15,14.6,-0.4
"1496","Defensive Midfield",22,"Corinthians","West Ham","2006",11.8,14.6,2.8
"1497","Defensive Midfield",27,"Shakhtar D.","Zenit S-Pb","2006",6,14.5,8.5
"1498","Right-Back",29,"Juventus","FC Barcelona","2006",26,14,-12
"1499","Centre-Back",24,"Hamburger SV","Chelsea","2006",13,13.2,0.199999999999999
"1500","Left Midfield",21,"Watford","Aston Villa","2006",6.5,13.2,6.7
"1501","Central Midfield",26,"Inter","AS Roma","2006",8,13,5
"1502","Centre-Back",27,"Birmingham","West Ham","2006",9,12.6,3.6
"1503","Defensive Midfield",25,"Saint-étienne","Spurs","2006",12.5,12.35,-0.15
"1504","Centre-Forward",27,"Fenerbahce","Bolton","2006",12,12,0
"1505","Centre-Forward",27,"Chelsea","FC Barcelona","2006",12,12,0
"1506","Centre-Forward",19,"River Plate","Real Madrid","2006",12,12,0
"1507","Attacking Midfield",26,"Valencia CF","Real Zaragoza","2006",18,11,-7
"1508","Attacking Midfield",24,"Real Zaragoza","Villarreal CF","2006",11,11,0
"1509","Centre-Forward",25,"Crystal Palace","Everton","2006",11,11,0
"1510","Centre-Back",20,"RSC Anderlecht","Hamburger SV","2006",13.5,10.5,-3
"1511","Centre-Forward",21,"1. FC K?ln","Bayern Munich ","2006",12,10,-2
"1512","Attacking Midfield",25,"Bor. Dortmund","Arsenal","2006",11,10,-1
"1513","Centre-Forward",27,"FC Empoli","Valencia CF","2006",8.5,10,1.5
"1514","Central Midfield",27,"Celtic","Aston Villa","2006",7.35,10,2.65
"1515","Right-Back",27,"Wigan","Spurs","2006",4,10,6
"1516","Defensive Midfield",30,"Juventus","Inter","2006",28,9.5,-18.5
"1517","Right Winger",23,"Birmingham","Liverpool","2006",5.5,9.1,3.6
"1518","Central Midfield",28,"Dinamo Moscow","Atlético Madrid","2006",13,9,-4
"1519","Left Winger",26,"Blackburn","Liverpool","2006",9,9,0
"1520","Centre-Forward",23,"Spartak Moscow","G. Bordeaux","2006",6.5,9,2.5
"1521","Centre-Forward",22,"Roda JC","PSV Eindhoven","2006",6,9,3
"1523","Centre-Forward",25,"Monaco","Sevilla FC","2006",7,8.9,1.9
"1524","Centre-Back",21,"Chelsea","Middlesbrough","2006",2.75,8.9,6.15
"1525","Centre-Forward",26,"Chievo Verona","US Palermo","2006",4,8.75,4.75
"1526","Attacking Midfield",20,"Colo Colo","Villarreal CF","2006",11,8.7,-2.3
"1527","Centre-Forward",21,"Internacional","Real Betis","2006",7.5,8.5,1
"1528","Centre-Back",28,"Hamburger SV","Bayern Munich ","2006",14,8,-6
"1529","Centre-Forward",27,"Juventus","Fiorentina","2006",11,8,-3
"1530","Defensive Midfield",23,"Stade Rennais","Olympique Lyon","2006",7.5,8,0.5
"1531","Centre-Forward",21,"Olympique Lyon","Corinthians","2006",6,8,2
"1532","Right-Back",30,"Lazio","AC Milan","2006",10,7.75,-2.25
"1533","Centre-Forward",30,"Real Madrid","AC Milan","2006",27.5,7.5,-20
"1534","Left-Back",25,"Chelsea","Valencia CF","2006",12,7.5,-4.5
"1535","Centre-Forward",28,"Trabzonspor","Zenit S-Pb","2006",8.25,7.5,-0.75
"1536","Centre-Forward",28,"Birmingham","Wigan","2006",5.5,7.5,2
"1537","Centre-Back",25,"S?o Paulo","Fenerbahce","2006",3.75,7.5,3.75
"1538","Attacking Midfield",20,"Juventude","OGC Nice","2006",1.5,7.5,6
"1539","Left-Back",25,"Arsenal","Chelsea","2006",17,7.4,-9.6
"1540","Centre-Back",32,"Juventus","Real Madrid","2006",14,7,-7
